id,division,by_product
1,Wheat,Barley
2,Wheat,Wheat Bran
3,Wheat,Flour
4,Wheat,Flour Special
5,Wheat,Oat
6,Wheat,Refined Flour
7,Wheat,Sooji
8,Wheat,Sorghum
9,Wheat,Straw
10,Wheat,Wheat
11,Maize,Corn Silage
12,Maize,Corn Starch
13,Maize,Maize - Grade A
14,Maize,Maize - Grade B
15,Maize,Maize - Grade C
16,Maize,Maize Grade D
17,Maize,Popcorn
18,Sesame,Sesame - Grade A
19,Sesame,Sesame - Grade B
20,Sesame,Sesame - Grade C
21,Sesame,Sesame Oil (Til ka Tail)
22,Millet,Millet - Grade A
23,Millet,Millet - Grade B
24,Millet,Millet Grade C
25,Cotton,Cottonseed
26,Cotton,Cottonseed Cake
27,Cotton,Cottonseed Oil
28,Cotton,Lint Cotton
29,Cotton,Seed Cotton - Grade A
30,Cotton,Seed Cotton - Grade B
31,Cotton,Seed Cotton - Grade C
32,Paddy,Paddy
33,Paddy,Paddy 1509
34,Paddy,Paddy 1692
35,Paddy,Paddy 1718
36,Paddy,Paddy 1847
37,Paddy,Paddy 386
38,Paddy,Paddy 86
39,Paddy,Paddy C-9
40,Paddy,Paddy Diamond
41,Paddy,Paddy Irri
42,Paddy,Paddy Irri 6
43,Paddy,Paddy Irri 9
44,Paddy,Paddy Irri-Fine
45,Paddy,Paddy Kainat-1121
46,Paddy,Paddy Lp-18
47,Paddy,Paddy PP-7
48,Paddy,Paddy Super
49,Paddy,Paddy Super 515
50,Paddy,Paddy Supri
51,Rice,Rice
52,Fertilizer,Ammonium Sulphate
53,Fertilizer,Amonium Nitrate
54,Fertilizer,CAN
55,Fertilizer,Chlorphenapyr 36% SC
56,Fertilizer,Clothianidin 20% EC
57,Fertilizer,DAP
58,Fertilizer,Enrich
59,Fertilizer,Green Phosphate
60,Fertilizer,Mesotrione + Atrazine 50% WP
61,Fertilizer,Mesotrione + Atrazine 55% WP
62,Fertilizer,MOP
63,Fertilizer,NP
64,Fertilizer,NPK
65,Fertilizer,Pak Arab CAN
