catalog_id,raw_product,raw_by_product
402,Vegetable,Tomato (Grade A)
352,Vegetable,Brinjal Gol
346,Vegetable,Garlic Desi
315,Fruits,Mango Black Chunsa
120,Pulses,Gram Black-Thin
355,Vegetable,Brinjal Lamba
347,Vegetable,Lemon Desi
119,Pulses,Gram Black-Thick
25,Cotton,Cottonseed
26,Cotton,Cottonseed Cake
314,Fruits,Mango Anwer Ratul
112,Chillies,Red Hybird Chilli
322,Fruits,Mango White Chunsa
2,Wheat,Wheat Bran
122,Pulses,Gram Pulse-Thick As
325,Fruits,Oranges
27,Cotton,Cottonseed Oil
46,Rice,Paddy Kainat-1121
466,Other Varieties,Barseem
126,Pulses,Mash Sabut-2
162,Edible Oil,Soybean Meal
406,Dry-Fruits,Almond (American)
406,Dry-Fruits,Almond (Desi)
406,Dry-Fruits,Almond (Australian)
412,Dry-Fruits,Large Raisins
316,Fruits,Mango Dasheri
7,Wheat,Sooji
83,Dates,Dhaki Dry Dates
220,Fodder,Rhode Grass
199,Fodder,Alfalfa
164,Edible Oil,Soybean Oil - Washed
145,Pulses,White Lubya-Thick
141,Pulses,Pigeon Pea-Thick
142,Pulses,Pigeon Pea-Thin
143,Pulses,Red Lubya-1
399,Vegetable,Salad Leaves
144,Pulses,Red Lubya-2
103,Spices,Coriander Seed Powder
163,Edible Oil,Soybean Oil
308,Fruits,Grapefruit
401,Vegetable,Shakar Qandi
403,Vegetable,Tomato (Grade B)
